section,task,policy,metric,value,unit,note
MC_LAST_LAYER,square,ft,oracle.ess_mean,246.90355954917175,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,oracle.weight_min,0.22231043216148488,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,oracle.weight_max,3.8293687048778726,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,ft,oracle.episode_cluster_bootstrap_ci_low,7.201930573582649,diagnostic,episode-cluster bootstrap lower bound; proxy contribution CI
MC_LAST_LAYER,square,ft,oracle.episode_cluster_bootstrap_ci_high,12.684626273065804,diagnostic,episode-cluster bootstrap upper bound; proxy contribution CI
THETA,square,ft,theta_old.ratio_mean,1.0,ratio,offline diagnostic update
THETA,square,ft,theta_old.clip_active_fraction,0.0,fraction,offline diagnostic update
THETA,square,ft,after_1_diagnostic_update.ratio_mean,0.9966049194335938,ratio,offline diagnostic update
THETA,square,ft,after_1_diagnostic_update.clip_active_fraction,0.714062511920929,fraction,offline diagnostic update
THETA,square,ft,after_3_diagnostic_update.ratio_mean,0.9940794110298157,ratio,offline diagnostic update
THETA,square,ft,after_3_diagnostic_update.clip_active_fraction,0.839062511920929,fraction,offline diagnostic update
MC_LAST_LAYER,transport,bc,uniform.mse,0.00979929740142326,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,uniform.mse_ratio_to_uniform,1.0,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,uniform.gradient_bias_norm,0.006506756261227182,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,uniform.mse_se,0.0003473802240421528,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,uniform.gradient_second_moment,0.014943785473120232,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,uniform.ess_mean,319.99999999999994,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,uniform.weight_min,1.0,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,uniform.weight_max,1.0,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,uniform.episode_cluster_bootstrap_ci_low,0.3961788795655593,diagnostic,episode-cluster bootstrap lower bound; proxy contribution CI
MC_LAST_LAYER,transport,bc,uniform.episode_cluster_bootstrap_ci_high,7.676005555922144,diagnostic,episode-cluster bootstrap upper bound; proxy contribution CI
MC_LAST_LAYER,transport,bc,timestep-only.mse,0.009099327271902762,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,timestep-only.mse_ratio_to_uniform,0.9285693554500312,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,timestep-only.gradient_bias_norm,0.006196725029364821,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,timestep-only.mse_se,0.0002531610630165113,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,timestep-only.gradient_second_moment,0.014308872811331632,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,timestep-only.ess_mean,304.02628317638107,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,timestep-only.weight_min,0.7060660131802016,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,timestep-only.weight_max,1.3249156740954828,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,timestep-only.episode_cluster_bootstrap_ci_low,0.39115817211568354,diagnostic,episode-cluster bootstrap lower bound; proxy contribution CI
MC_LAST_LAYER,transport,bc,timestep-only.episode_cluster_bootstrap_ci_high,7.853566452790981,diagnostic,episode-cluster bootstrap upper bound; proxy contribution CI
MC_LAST_LAYER,transport,bc,state-aware.mse,0.005857877149350259,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,state-aware.mse_ratio_to_uniform,0.5977854237283844,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,state-aware.gradient_bias_norm,0.005515717413659413,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,state-aware.mse_se,0.00011553088308680201,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,state-aware.gradient_second_moment,0.011036888216812852,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,state-aware.ess_mean,78.73659660530606,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,state-aware.weight_min,0.071795684218124,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,state-aware.weight_max,4.9820616659178345,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,transport,bc,state-aware.episode_cluster_bootstrap_ci_low,0.4014409173512831,diagnostic,episode-cluster bootstrap lower bound; proxy contribution CI
